dir,int_mean,mesh_mean,mesh_ref_ratio_mean,pmids_mean,pmids_ratio_mean,gene,pmids,mesh,percentile_95,genes_95,int_min_95
grpm_survey_pcg_nutri,0.0018,6.18,0.0103,9.12,0.23,11560,62473,413,0.005080999999999986,923.0,0.0051
grpm_survey_pcg_ob_bmi,0.0013,3.82,0.0157,5.48,0.14,9713,35563,243,0.0032509999999999852,1460.0,0.00326
grpm_survey_pcg_dmt2_ms,0.0017,5.23,0.016,8.23,0.2,10983,55589,326,0.004361999999999971,1054.0,0.00437
grpm_survey_pcg_cvd,0.0026,7.62,0.0144,11.7,0.28,12368,85065,528,0.008002999999999956,561.0,0.00802
grpm_survey_pcg_vitam,0.0003,0.81,0.0046,1.54,0.03,4045,11941,175,0.00022,9259.0,0.00023
grpm_survey_pcg_eat_taste,0.0004,1.34,0.0046,1.78,0.04,5525,13734,292,0.00099,4028.0,0.001
grpm_survey_pcg_intol,0.0004,0.61,0.0042,1.04,0.03,4040,7416,145,0.0012,3452.0,0.00121
grpm_survey_pcg_aller,0.0005,0.83,0.0128,1.51,0.04,4681,11032,65,0.00118,3473.0,0.00119
grpm_survey_pcg_oxi_stress,0.0003,0.99,0.0129,2.41,0.04,5156,19295,77,0.0004,7225.0,0.00041
grpm_survey_pcg_xeno,0.0009,1.79,0.0105,3.36,0.07,7115,27237,170,0.00167,2652.0,0.00168
grpm_random_pcg_04,0.0033,3.97,0.0088,15.5,0.44,14128,93155,450,0.01155199999999997,371.0,0.01161
grpm_random_pcg_05,0.0035,4.33,0.0096,21.41,0.59,14863,148434,450,0.012280999999999985,349.0,0.0123
grpm_random_pcg_06,0.0027,3.81,0.0085,15.82,0.41,13997,108394,450,0.009530999999999986,468.0,0.00954
grpm_random_pcg_07,0.0062,3.91,0.0087,34.47,0.95,15491,242120,450,0.02247,178.0,0.02255
grpm_random_pcg_08,0.0019,3.05,0.0068,10.89,0.28,12851,76038,450,0.006330999999999985,736.0,0.00634
grpm_random_pcg_09,0.0014,2.95,0.0066,5.9,0.16,11045,44131,450,0.0043,1073.0,0.00431
grpm_random_pcg_00,0.002,3.77,0.0084,9.71,0.26,12583,69713,450,0.007271999999999971,632.0,0.00731
grpm_random_pcg_norep1,0.0007,3.72,0.0084,7.46,0.23,12423,57715,444,0.0024,1943.0,0.00241
grpm_random_pcg_norep2,0.0014,3.9,0.0088,8.72,0.24,12479,64209,444,0.00473,978.0,0.00474
grpm_random_pcg_norep3,0.0014,3.73,0.0084,8.63,0.24,12437,62015,444,0.005152999999999956,909.0,0.00516
grpm_random_pcg_norep4,0.0027,4.12,0.0093,15.24,0.44,14266,93838,444,0.00999,437.0,0.01
grpm_random_pcg_norep5,0.0016,3.44,0.0077,10.0,0.26,12545,69849,444,0.005650999999999985,835.0,0.00566
grpm_random_pcg_norep6,0.0021,3.75,0.0084,9.01,0.27,12886,60307,444,0.008040999999999986,558.0,0.00805
grpm_random_pcg_norep7,0.002,3.61,0.0081,9.24,0.25,12419,69657,444,0.007760999999999986,584.0,0.00777
grpm_random_pcg_norep8,0.0023,3.87,0.0087,11.06,0.31,13166,82505,444,0.008950999999999985,501.0,0.00898
grpm_random_pcg_norep9,0.0013,3.1,0.007,5.98,0.16,10992,44699,444,0.00386,1216.0,0.00388
grpm_random_pcg_norep10,0.002,3.7,0.0083,11.21,0.3,12812,93451,444,0.00756,604.0,0.00757
grpm_random_pcg_norep11,0.0019,3.51,0.0079,10.75,0.27,12541,94316,444,0.006010999999999985,776.0,0.00602
